ResponseId,R1_Drinking water from plastic bottles that contain Bisphenol A (BPA),R1_Eating food with phthalates transferred from plastic packaging,R1_Taking pharmaceutical products that contain parabens used as preservatives,R1_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R1_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R1_Eating fruits and vegetables treated with pesticides,R1_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R1_Using deodorants with phthalates in their fragrance,R1_Using sunscreens that contain parabens as preservatives,R1_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R1_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R1_Using insect repellents with pesticides on the skin,R1_Breathing in Bisphenol A (BPA) particles from indoor dust,R1_Breathing air containing phthalates from indoor air fresheners,R1_Breathing in paraben particles from indoor dust,R1_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R1_Breathing in brominated flame retardants (BFRs) released from electronic devices,R1_Breathing air containing pesticides that have migrated from landfills,R2_Drinking water from plastic bottles that contain Bisphenol A (BPA),R2_Eating food with phthalates transferred from plastic packaging,R2_Taking pharmaceutical products that contain parabens used as preservatives,R2_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R2_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R2_Eating fruits and vegetables treated with pesticides,R2_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R2_Using deodorants with phthalates in their fragrance,R2_Using sunscreens that contain parabens as preservatives,R2_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R2_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R2_Using insect repellents with pesticides on the skin,R2_Breathing in Bisphenol A (BPA) particles from indoor dust,R2_Breathing air containing phthalates from indoor air fresheners,R2_Breathing in paraben particles from indoor dust,R2_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R2_Breathing in brominated flame retardants (BFRs) released from electronic devices,R2_Breathing air containing pesticides that have migrated from landfills,R3_Drinking water from plastic bottles that contain Bisphenol A (BPA),R3_Eating food with phthalates transferred from plastic packaging,R3_Taking pharmaceutical products that contain parabens used as preservatives,R3_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R3_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R3_Eating fruits and vegetables treated with pesticides,R3_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R3_Using deodorants with phthalates in their fragrance,R3_Using sunscreens that contain parabens as preservatives,R3_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R3_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R3_Using insect repellents with pesticides on the skin,R3_Breathing in Bisphenol A (BPA) particles from indoor dust,R3_Breathing air containing phthalates from indoor air fresheners,R3_Breathing in paraben particles from indoor dust,R3_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R3_Breathing in brominated flame retardants (BFRs) released from electronic devices,R3_Breathing air containing pesticides that have migrated from landfills
R_12JdkdGsGotai5k,,3,,6,4,2,,,,,,5,,,,,,1,,,1,,,,,,,,,,2,4,6,3,5,,1,,,,,,4,2,3,6,5,,,,,,,
R_7MPXKEHJ9II2JCK,3,,,1,5,,4,,,6,2,,,,,,,,,,5,,,,,,,,,,1,6,,4,2,3,,1,,,,4,,3,5,,,2,,,6,,,
R_6LNwBoDoMREoWHv,,,,,,6,,,,,5,,3,2,1,,4,,4,3,5,6,,,,,,,,,,,,2,,1,,,,,1,,2,5,6,3,,4,,,,,,
R_71hryBjvcTSVq1n,,,,,,,6,,,5,,4,2,,3,,,1,6,,,,4,,,,,,3,,,2,,1,5,,,2,6,1,,3,,5,4,,,,,,,,,
R_6L0ycT5U50Ju6tr,5,6,,,1,4,,,,,,3,,,,,,2,,,,1,,,,,2,,,,,3,4,6,5,,,,4,,,,2,5,,3,6,,1,,,,,
R_5PiTwGhy6YhkhD1,,,,,4,2,,,3,,,,6,,,,5,1,6,,4,3,,,,,,,,,,2,1,5,,,,1,,,,,5,3,,4,2,6,,,,,,
R_3eVlE9kx54OqhEd,,3,,4,2,1,,,,,,5,,,,,,6,3,,,,,,,,,,4,,,6,2,5,1,,,,1,,,,5,4,6,2,,,3,,,,,
R_6ml3ZteR0dXMu1L,,,4,,6,,,,,,,3,2,,5,,1,,2,1,,3,,6,,,,,,,,,,5,,4,,,,,,,5,6,3,1,4,,,2,,,,
R_5R4rdpl6gRSI6LY,,,6,,1,2,,5,,,,4,,,,,,3,2,1,,3,,,6,,4,,,,,5,,,,,,,,,,,,,,5,6,,4,,1,2,3,
R_1lMIIFvbp1WjODs,,,,,1,,5,,,,6,3,,,,,2,4,4,2,,,,3,,,1,,,,6,5,,,,,,,3,4,,,,2,,5,,,,,1,6,,
R_7Ov4z62o0ofvCSE,5,,,,3,2,,,,,6,4,,,,,,1,,,,1,,,,6,,5,,,3,2,,4,,,,3,4,,,,2,,1,,,,,,5,,6,
R_1c5ZWLko6MpKGlP,,,3,,1,,,,,,,,5,,4,6,,2,,4,,3,,2,,,,,5,,,1,,,6,,1,,,,,,5,4,3,2,,6,,,,,,
R_5eFYRFtOqBlBzcl,,,,1,6,,,,,5,,3,,,,2,,4,,,,,,5,2,,,,3,,6,,4,,1,,5,6,4,,,,,2,3,,,,,1,,,,
R_1sDyXAoP59IYwvf,6,,1,3,,2,,,5,,,,,,,,,4,,3,,,,,5,,,2,4,1,,,,6,,,,,,,3,,,1,,,,,6,4,5,,2,
R_7rvjBov1XjLrsxZ,5,,,6,2,1,,,,,,4,,3,,,,,,,3,,,,1,5,6,2,,,,,,,,4,,2,,,,,,,,,5,,1,,3,4,6,
R_6NI2wIVuSYEdxz0,,4,,1,,3,2,,,,,,,,5,6,,,,,,,3,,,,5,1,,2,4,,,,6,,2,,6,,,,,3,,,1,,,4,,,,5
R_5XceXJXk0iqHWaR,,,,,5,6,,,,,,,2,,4,3,,1,4,3,2,1,,,,5,,,,,,,,,6,,,,,,,,3,,6,2,4,5,,1,,,,
R_5eaNQjFGauQ1fbE,,6,,3,1,,,,,,,,2,,,5,,4,4,,,,,2,,,,,,3,,6,5,,1,,,,3,,,,1,5,6,2,4,,,,,,,
R_3h9CoGPEIO4qLwo,,,2,,1,5,,,,,,4,,,,,6,3,3,,,1,,,,,,,2,,4,6,,5,,,,3,,,,,1,6,4,5,,,,,2,,,
R_1Kpi9XpQZw9DtLz,3,2,,6,5,,,,,,,,,,4,,,1,,,1,,,,6,,,5,,3,2,,,4,,,,,,,,1,,4,6,,5,,,3,,,2,
R_7mICS8Eh1T9xCgu,,,,,6,,,,,,,,2,5,3,4,,1,3,5,2,4,,6,,,,,,,,,,,1,,,,,,,,3,4,1,5,6,2,,,,,,
R_5hAUdcdDHlETRU8,,6,1,5,3,4,,,,,,2,,,,,,,2,,,,,,4,,,3,,,5,6,,,,1,,,,,,,,3,5,,6,,,,4,2,1,
R_52Dd4CfBkJL1FvE,6,,,3,5,2,,,,,,4,,,,,,1,,2,1,,,,,,,,6,,4,,,3,5,,,,,,,,2,5,6,1,,,,4,3,,,
R_7KPziFrY2FlEvYL,3,,,,4,1,,,,,,5,,6,,,,2,,1,5,3,,,,,,6,,,2,,4,,,,,,,,,,2,3,4,,6,,,,,1,5,
R_3dZjkn747coMPRZ,,,3,4,5,1,,,,6,,2,,,,,,,2,,,,,,,3,4,,,,5,,6,,,1,,1,,,,,4,,,,2,,,5,,6,3,
R_5PpVYV2R59TkrV1,2,,,,6,3,5,,,,,1,,,,,,4,,5,6,1,,,,3,2,4,,,,,,,,,,,,,,,,,,,2,,5,3,6,1,4,
R_7wNPHRk3N7upxzo,,,1,6,,5,2,3,4,,,,,,,,,,3,4,,,6,,,,,1,,2,5,,,,,,,,,,,,,,,,6,,,4,5,2,3,1
R_1nNt0YbdmaZ9fd1,1,,,,2,4,,,,5,,,,,,,6,3,,2,1,4,,,,,,,,3,6,,,5,,,,,,,,,5,6,3,,2,,,4,1,,,
R_7Q4qfDK2h9YXhLu,4,,,,1,3,5,,,,,2,,,,,,6,,,,1,,,,6,,,,,2,3,4,,5,,,1,6,,,,,,5,3,4,,,,,2,,
R_7Pjeg1ZfNpTUUaw,,,3,,5,2,4,,,,,,,,,6,,1,3,,,5,,,,,,1,6,2,,4,,,,,,2,,,,,,3,6,,,,5,,4,,1,
R_6BaWYD1Es9rSmqd,,6,,2,3,1,,,,,,,,,,5,,4,,,,,,,6,,,,2,5,4,3,1,,,,6,,2,,,,,5,3,1,,,,,,,4,
R_5ocq6l0X1xWf7Dj,,,,,5,1,4,,,,,3,,,,,6,2,5,2,,4,,,,,1,3,,,,,6,,,,,,1,,,,,4,,,5,,2,6,,3,,
R_6nugRRGuRRGMmJ0,,,,,4,,,,,,,2,3,,5,6,,1,5,,,4,,1,,2,6,,,,,3,,,,,,2,4,,,,5,,,3,6,,,,,,1,
R_776ifkRDnBFgIG5,,,,,3,5,,,,4,,,,,2,6,,1,,,,6,,,3,,,,,5,1,2,,,4,,5,1,3,,,,,6,2,,4,,,,,,,
R_5OyIx2edfZcTCSZ,,2,,3,1,6,,,,4,5,,,,,,,,4,,2,,,,5,,,,,1,,3,,6,,,,,,,,,,3,2,,,,4,,6,,5,1
R_17llboVR0cS0XqY,,2,,5,1,,,,,,,,6,4,,3,,,,,1,,,2,,,,,4,,,,5,,3,6,1,,,,,,4,6,2,5,,3,,,,,,
R_3p3ZKyEfGjCpwo9,,,,5,,1,3,,2,,,6,,,,,,4,,2,,,4,,,1,,3,,,,6,,,5,,3,,5,,,,,,,,6,,2,,4,1,,
R_3DkciEtQ9MvaZfc,4,,,5,3,6,2,,1,,,,,,,,,,,2,4,,,,,3,,1,,5,6,,,,,,,,,,,,,,,,1,,,5,2,3,6,4
R_1dqvYbCFVVi0SB3,,5,,6,2,1,,,,,,4,,,,,,3,1,,,,,,,,,,2,,4,5,6,3,,,,,5,,,,4,2,3,1,,,,,,,6,
R_1qnrzBXvv3DaRrP,5,,,4,2,1,,,,,,,,,6,,,3,,5,1,,,,,,,,3,2,,4,,6,,,,,,,,,5,4,2,3,,,6,,,,1,
R_7cd42kkydw60AJ9,,,,,,5,,,,,,,6,,2,4,3,1,,4,6,3,5,,,,,,,1,,2,,,,,5,,,,,,2,4,1,3,6,,,,,,,
R_1cvmpqZGdQpgxzM,2,,6,3,1,,,,,,,,4,,,,5,,,,,,,1,,,,,4,6,,,2,3,,5,,1,,,,,4,2,5,3,,,,6,,,,
R_1gIRLKa7ChmFhFm,,4,2,3,5,,,,,,,,,,,,6,1,3,,,,,2,5,,6,,4,1,,,,,,,,,,,,,,3,,5,,,6,2,4,1,,
R_3Ndch5EtvvGwLQZ,,,,4,1,,,,,,,,2,6,3,,,5,2,,4,,,3,,,,,1,6,,,,5,,,,1,,,,,5,4,6,3,,,,,,,2,
R_7dFR85B7oYuKUpI,,,,,2,1,,,,6,,,5,4,,,,3,,2,1,3,,,,,,,,5,,,,6,4,,2,,,,,,5,6,4,,3,,,,1,,,
R_1vcCweorxR3dmxY,,,5,,,3,,,,,,1,6,,,,4,2,,5,,6,4,,,,,,,,,3,1,2,,,2,,,,,,4,6,1,5,3,,,,,,,
R_5xWUCDBkiLqwRLk,6,,3,1,,2,,,,,4,,,5,,,,,,2,,,6,,,3,,4,,5,,,,1,,,,,,,,,3,,1,,,,4,,5,,2,6
R_30MPt9Sqjlmc3nm,5,6,,2,,1,,,,,4,3,,,,,,,,,,,2,,,,5,3,,,4,1,,6,,,,,6,,,,1,4,,,,,,,3,,5,2
R_6IFek84ba8jpDr3,,3,,6,,,,,,,,4,,2,5,1,,,3,,5,,,1,,,,,6,,2,,,,,4,,,,,2,,3,6,5,4,,,,,,,1,
R_6zOtknQT8tmlBYg,6,3,,2,4,1,,,,,,5,,,,,,,,,,,,,,6,,,,,4,,3,2,5,1,,,6,,,,4,,3,5,2,,,1,,,,
R_3fUBfE9899aVjuH,,,,,,,,,,,,2,6,3,,4,5,1,,,2,3,4,,6,,5,,,,,,1,,,,6,3,,,,4,,5,,2,1,,,,,,,
R_3d3IcG8SSqNDiuE,,,,2,,,,5,6,,,,,,4,1,3,,6,4,,,1,,,,,,,2,,5,,,,3,,,6,,,5,2,,,1,3,,4,,,,,
R_7pS6puz4W6Aj8Qw,1,2,,3,,5,,,,,,,,6,,4,,,,,,,1,,,,,6,,5,3,,2,,4,,,,2,,,,1,6,5,,3,,,,,,,4
R_5fyNVzfkFNOsuvT,,,,4,3,2,,,,5,,,6,,,,,1,6,4,3,,,,2,,1,,,,,,5,,,,,,,,,,,3,,,5,6,,4,,2,1,
R_3537o4XS7EtqBhv,,,,,,,,,,,,,2,5,6,3,4,1,1,4,2,,3,5,,,,,,6,,,,,,,,,,1,,,4,3,5,6,2,,,,,,,
R_7GoDFhNzX3raHex,,6,,5,,3,4,,,,,1,,,,,,2,5,,,,1,,,,2,,3,,,4,,6,,,,,6,,,,,3,,5,,,1,,2,,4,
R_7HjWlmcx78DwoXn,,6,,,1,,5,,,,2,,,,,,4,3,5,,4,1,,,,,,,,,,6,2,3,,,,,,,,5,,2,4,6,,1,3,,,,,
R_3D7wj1Y9zjQ0lro,3,,,2,4,,6,,,1,,,,,,5,,,,4,,,,,,5,,,6,,3,,,,2,1,,,3,,,6,,,4,,,5,,1,2,,,
R_6yorjDrbVi0DsMV,,4,6,5,2,1,,,,,3,,,,,,,,1,,,,,,,,,,,6,4,3,2,,,5,,,,,,,4,5,6,3,,,,,,2,1,
R_1pbUPaG91aidl8v,,2,1,5,3,,6,,,,,,,,,,4,,,,,,,,,3,2,4,5,1,,,,,,6,6,,,,,4,,,,,,,2,3,5,1,,
R_3cSn10LtuxZr88T,6,,,,,,,,3,,,2,1,5,4,,,,,,,,6,5,,,,,1,,,,,3,4,2,,2,6,3,,,1,5,,4,,,,,,,,
R_5IkSON5ohRaM7Id,3,,,4,,,,,,,,,2,,,5,6,1,,4,,,2,,6,5,,,,3,,,1,,,,,,5,,,6,,,2,4,3,,,1,,,,
R_4XO1U3Zi4zoNGKJ,5,,3,,,1,6,,,4,,2,,,,,,,,2,,1,4,,,,5,,,,,3,,6,,,,,,,,,,1,,,6,,2,,3,,5,4
R_3TKJmyRjo2DdJRQ,,,,,6,,,,,,5,,3,,,2,4,1,,,6,1,,,,,3,2,,,,5,4,,,,1,6,,,,4,2,5,,,,3,,,,,,
R_52LnDPJaUFzqutL,6,,,,4,1,,,,,,3,,,,2,,5,,2,,1,,,4,,,6,,,3,,,,5,,,,2,,,,,3,1,,5,,,4,6,,,
R_7jcISW1Ktg2cMoI,,,,,,3,,,,,,2,6,5,,,4,1,,5,,2,,,,,6,,4,,,,1,3,,,3,,2,,1,,4,6,,5,,,,,,,,
R_6fxEwbAqR84udEt,6,5,,,,,,4,,,,3,,2,,,,1,,,,,2,,,,6,,,,3,,1,4,5,,,,6,3,,1,4,,,5,2,,,,,,,
R_5TmGx79yOFqabtj,,,,,1,5,,,4,3,,2,,,,,6,,1,3,4,2,,,5,,,,6,,,,,,,,,,,,,,,6,,,,,5,2,4,3,,1
R_3BmuTV2OaOQOK9n,,,3,4,1,,,,,,,5,6,,,,,2,,2,,,,1,,,5,4,6,,,,3,,,,3,,,,,,2,4,,,,,,1,,5,6,
R_3TvNf6229wkxYDY,,,,2,,3,,,,,1,5,,,,6,4,,5,,,,6,,,,,,,,2,4,3,,,1,,5,3,,,,6,4,2,1,,,,,,,,
R_5pRm5e95NGBccJt,6,,,,,3,,2,1,,4,,,,,,5,,,,,2,3,,,,,1,,6,4,,,5,,,,4,3,,,,5,,,,,,,1,6,,,2
R_3t0dbsu0FU7aSAm,4,5,,3,1,2,,,,,,6,,,,,,,,,1,,,,2,,4,3,6,,,,,,,5,,,,,,,,2,,,,,4,3,6,5,1,
R_3UNBlQKIVCCAaaZ,3,2,,1,,4,,,,,,,5,,,,6,,,,4,,,,,5,,,3,,,6,1,2,,,,,,,6,,2,,3,1,,4,,,,,,5
R_3gymwJIBp9FOZwZ,3,2,5,6,,4,,,,,,,,,,,,1,,,,,3,,,,,6,5,2,4,1,,,,,,,,,,,4,6,2,,,,,,5,3,1,
R_5qy0Xo7ALXVLD3n,,6,5,1,,2,,,,,,,3,,4,,,,,,,,3,,,,6,5,,2,,4,,1,,,3,,,,,,1,2,,,5,,,,,,4,6
R_1f9UsIPjm1q3cFb,5,6,,3,4,2,,,,,,,,,,,,1,,,,,,,,,,,5,1,3,2,4,6,,,,,1,,,,5,2,3,6,,,,,,,4,
R_5HoSfmteSN3SMAV,4,5,1,3,6,2,,,,,,,,,,,,,,,,,,,,,5,6,,,3,,4,,2,1,,,,,,,3,5,,,6,4,,2,,1,,
R_7pPXhJxKRBN9S9Z,,,3,4,5,,,,,2,,1,,,,,,6,,,,,,3,4,,,,5,,,2,1,,6,,3,2,,,,,,4,6,,,,1,,,5,,
R_3AdpsqNTGGNdKyR,,,3,6,,,2,,,4,,1,,,,,,5,,5,,,4,,,6,1,,,,3,,,,2,,4,,,,,5,,,,,6,,,3,2,1,,
R_3jSk2lqpU8HlaN3,,,,,6,1,,,,,,2,,,,4,5,3,5,,,1,,,3,,,2,6,,4,,,,,,,3,2,,,,,6,5,,,,,4,1,,,
R_3PdgsxwriEIC4gh,,,6,,,,5,,,,,2,,,3,,4,1,6,,,4,1,,,5,,3,,,2,,,,,,,6,,,,1,,,3,,5,,,4,,2,,
R_7hYY9iDJn72XTW2,,3,,,,,,,,,,,2,6,4,1,,5,1,,,2,,3,,,,,6,5,,,,,4,,,,1,,3,,5,2,4,6,,,,,,,,
R_6wT47PysnFw2maZ,,,,,4,3,,,,,,1,6,,,,2,5,5,4,6,3,,,1,,,,,,,,2,,,,,,,,,,,4,6,5,3,,,2,,1,,
R_3Ic49N38edz3865,2,5,,1,4,3,,,,,,,6,,,,,,,,,,,,6,3,,4,,5,,,1,2,,,,,2,,,,,,4,,1,,,6,,,5,3
R_3mttCm6ZLx9XdZ2,2,4,,,,1,,,,,3,5,,,,6,,,,,,2,,,,,,,,,4,3,1,,5,6,,,6,,5,,2,3,4,1,,,,,,,,
R_7PvlVITrjCiIyMF,1,,,,5,2,,,,,,3,,,,6,4,,,1,,2,,,4,3,,,6,,5,,,,,,,,6,,,,,,4,5,,,,3,1,,,2
R_3nUZTOIKdApUo39,,,,2,1,,,,,,,,5,6,,3,,4,5,1,,,,,4,,,6,,,,,3,,2,,,,2,,,1,,5,6,,3,4,,,,,,
R_3ydo2sUwHk1uSul,,,,2,6,5,1,,,,,,,,3,,,4,4,,6,,,,,1,3,,,5,,,,2,,,,4,,,,,,,,3,6,,2,1,,,5,
R_74NIevI9ZXt2wQF,3,,5,4,2,,,,,,6,,,,,,1,,,2,,,,1,,,,,,5,6,,,4,,3,,,,,,,5,3,6,2,,,,1,4,,,
R_114QlKHXqdf6aRh,2,,,6,1,,,,,,,5,,,3,,,4,,5,6,,,3,,,,,,,4,,,1,2,,,,,,,,6,3,2,4,5,,,1,,,,
R_1OTsL7x1EtoSVYZ,,2,,1,5,3,,4,,,6,,,,,,,,1,,5,,,,,,,,,,6,4,2,,,3,,,,,,,1,,6,4,,2,,,,5,3,
R_5C1LqYBPGzdPl9T,,6,,3,2,,,,,,,,4,,,5,,1,3,,,,,,5,,,4,,,,1,2,,6,,,,4,,,1,,6,5,,3,2,,,,,,
R_7pbXRZrKvDRP2xu,4,,6,,1,2,,,,,,3,,,,,,5,,5,,1,,,2,,3,4,,,,6,,,,,,,,,,,,1,,,2,,6,,5,3,4,
R_3ASCDbtqMds1dXd,,,,,6,2,,,,,,1,,4,,5,,3,,2,,1,,,6,,4,,,,5,,,,3,,2,,5,,,,,3,,4,6,,,,1,,,
R_1vCx77e1uSt9aQ9,3,,,2,,1,,,,,,,4,5,,6,,,,,,,6,,3,,,5,4,1,,,2,,,,,5,2,,,,,3,4,,,,,,,,1,6
R_7dSpIESUjmeJhTW,5,3,,2,,1,,,,,,,,,4,6,,,,,5,,2,,,,,,,6,1,3,,,,4,,,,,,,3,6,5,2,4,,,,,,1,
R_1eQ2Ykx2H8sEfD7,5,,,,3,6,2,,,,,4,,,,,1,,,3,,2,,,,,4,1,6,,,,,5,,,,,2,,,,,5,,,,,1,6,3,,,4
R_11YIH8sCgcKeG4r,,3,,4,,,6,,,,,2,,5,,,,1,6,,,,4,5,,1,2,3,,,,,,,,,,,2,,,,,,,,4,,6,,5,1,3,
R_7VPAmal4OJSikAk,5,6,4,3,,,,,,,,2,,1,,,,,,,,,,1,4,,6,,2,,,,,,5,3,,,,,5,,,3,,6,,,1,,2,4,,
R_5MsUW1647sL636h,5,4,,2,3,,,,,,,,6,,1,,,,,,,,,5,,,3,2,6,1,,,,4,,,,,2,,,,3,5,,,,,,6,,,4,1
R_6eL7lbqM8fsVMvM,5,,4,,,1,,3,2,6,,,,,,,,,,1,,4,3,,5,,,,6,2,,,,,,,,,,,,,,,,,,,4,2,5,1,3,6
R_5DMTXmwFN1qb1GM,3,4,,6,,2,,,,,,1,,,5,,,,,,2,,,,6,,,,5,,1,3,,,4,,,,,,2,,,3,5,4,,,,,,1,,6
R_6fk7UVxJmucED1h,,,,,,,,,,,,5,3,,2,4,6,1,,,1,5,2,,,,,6,4,,,3,,,,,5,6,,,,4,1,3,2,,,,,,,,,
R_71gwJ6YmAuG9WBr,,,,,,,3,2,,6,,5,,4,,,,1,3,,6,5,4,2,,,1,,,,,,,,,,,1,,,,,,,,,5,,3,,4,2,6,
R_3gFub6FJwX66Sw5,4,6,,2,3,1,,,,,,5,,,,,,,,,1,,,,,5,,,,,3,2,4,6,,,,,,,,,2,,3,1,4,,,,,,5,6
R_65Ab5RaXmPIaE2Z,,,,,,,,,,,,,3,2,4,5,6,1,5,2,,3,4,1,6,,,,,,,,,,,,,,1,,,,,6,5,4,3,2,,,,,,
R_7Q48pUP7NDjbrKh,,,,3,1,,,,,,,6,5,,,,4,2,4,2,,,,5,,,,,1,,,6,3,,,,,,2,,,,6,4,3,5,,,,,,1,,
R_7pbS5N3VrPJxuOk,2,6,,5,,4,,,,,3,1,,,,,,,,,3,,5,,,,6,1,,,,,,2,4,,,,,,,,2,3,,,,,5,1,4,,,6
R_5EE7h72b9hbgvBn,2,6,,,4,1,5,,,,,3,,,,,,,,,,6,,,,4,3,2,,,,1,,,,5,,,6,,,,,,,,5,,4,,3,1,2,
R_16bxS7Qq3FaloKb,,,,,,,,,,,,,1,3,5,6,4,2,3,1,,4,5,2,,,,,,6,,,,,,,,,5,,,,1,3,6,2,4,,,,,,,
R_3QAtoJMhekOb6EM,,,,1,2,3,,,,,,5,,,,,6,4,4,2,,,,,,,,,,,3,1,6,5,,,,,1,,,,4,5,6,3,2,,,,,,,
R_72SieZVnaaDz3ga,3,,,,,,1,4,,,,5,,,2,,,6,,,,,,,,,,1,6,,3,2,,4,5,,,2,4,1,6,3,,,5,,,,,,,,,
R_3H8D6VMeKiZ21XY,4,,,,,3,6,2,,5,,,,,,,,1,,4,,2,5,,,,,,,6,,1,,,3,,,,3,,,,,,1,,5,,4,,2,6,,
R_31tt7A1q0S0CSe4,,,,5,,,6,,,3,,,,,,4,2,1,,3,1,,5,4,,,6,,,2,,,,,,,4,,,,,,,3,,,2,,6,1,5,,,
R_7CIIQCj0oIndqYX,3,6,,1,,,,,,,,,2,4,,5,,,,,3,,1,,5,,6,4,,,,,2,,,,,,,,,2,,5,,,6,1,,,,,3,4
R_6e9im3eqHWycZkI,1,4,,2,,3,,,,,,5,,,6,,,,,,6,,1,,,,,,,,2,3,,5,,4,,,,,,,2,3,4,1,5,,,,,,6,
R_7xDK60pCKkBIfga,1,6,,2,5,3,,,,,,4,,,,,,,,,,,,,,,,,3,,5,,2,4,6,1,,,6,,,,3,5,2,4,,,,1,,,,
R_3dGQ7K529oO3d4t,6,1,,5,,2,,,,,3,,,,,,4,,,,1,,6,,5,4,,,,2,,3,,,,,,,,,,,,,3,6,,,1,,2,5,,4
R_7VxQhvWvZR7iVRi,,,,,,2,3,,4,,5,1,,,,,,6,2,3,6,4,,,,1,,,,,,5,,,,,,,,,3,,,,,4,,,2,,5,1,6,
R_30nCsz1CNxCVHWx,3,,,,6,2,,,,,,1,5,,,,,4,,,3,6,,,,,,,1,,,4,2,5,,,,1,,,,,2,6,5,4,,,,,,,3,
R_6bTRKTBjiIvbK7F,,,,1,2,4,,5,3,,6,,,,,,,,,,1,,,,,,,,,,5,6,2,,4,3,6,1,,,,,4,,,5,,3,,,,2,,
R_50CV0NwoJpFVlWx,,6,,2,3,,,,,1,5,4,,,,,,,,,5,,,,,3,2,,,,,,,1,6,4,4,,,,,5,2,,,,,,6,3,1,,,
R_5AhhSc0J9syi9j3,5,,,4,3,1,,,,,,6,,,,,,2,,1,,,,,,,,,,,3,2,5,4,6,,,,6,,,,2,4,3,1,5,,,,,,,
R_6WMWqit77KtDpPf,2,,,,4,1,,,,,5,3,,,,,,6,,5,4,3,,,,6,2,1,,,,,,,,,,,,,,,6,,,,,,4,1,3,2,5,
R_3F2spE1mIl1bhvw,4,2,,,,6,,,,,,1,3,,,,,5,,,,5,1,,,,,,6,,,,2,3,4,,,,3,,,,2,5,6,4,,,,1,,,,
R_17VEV6ECoQCIyDx,,3,6,,1,2,4,,,,,,,,,,,5,,,,4,,,,,2,1,,6,3,,,5,,,4,,,,,,,5,,,6,,,3,2,,1,
R_3MOQHSgIaVbQyzv,2,,,,1,4,,,,,,,3,,,5,,6,,2,,4,,,,5,6,,,3,,,1,,,,,,4,,,,1,,,3,5,,,2,,,6,
R_7lNKyIQjqj7vpS1,,,5,,,,,,,,1,,,6,4,3,2,,3,6,,4,5,,,,,,,,1,,,,,2,,,,,,4,3,5,6,2,,1,,,,,,
R_72X4u9zTLUx8P8x,,,5,,1,,,,,6,,4,,3,,,,2,3,,,,,,4,,,,6,,1,,2,5,,,,5,,3,,4,,6,2,,,,,,,,1,
R_6ClajJNTi9GVswu,1,6,,3,5,4,,,,,,2,,,,,,,,,6,,,,2,5,1,4,,,,,,,,3,,,,,,,,,,,2,,3,1,6,5,4,
R_3uVwSZ44zRnXad8,,4,,6,,1,,,,,,,3,,5,2,,,3,,5,,,,,,,,4,6,,2,,,1,,,,,,2,,5,4,3,6,,,,,,,,1
R_3f9ckeXd7AN5PDw,,,,,1,5,4,,2,3,,6,,,,,,,3,,,,,,,4,,,2,,6,1,,5,,,,5,2,1,,,,,,,,,,,3,,4,6
R_7CH5YPbKMiX86S5,6,,,5,1,2,,,4,,,3,,,,,,,,3,,,,,1,6,,2,4,,,,,,5,,,,1,,,,,,,,,,6,2,4,3,,5
R_7hYzY4dLMnueKM9,5,6,,3,,1,4,,,,,2,,,,,,,,,,,,,,,2,1,6,,,4,,5,3,,,,4,,2,,,3,,,,,1,,5,,,6
R_7Kxxi3XQLPRDWVy,4,,,3,,1,5,,,,,2,,,,6,,,,6,2,,1,,,,3,5,4,,,,,,,,,,,,,,,2,,,,,3,5,6,,1,4
R_7KYzV4EUgiWCt7X,1,4,,2,,3,,,,,,5,,,6,,,,,,,,5,,,,,,,,4,3,,2,6,1,,,2,,,,3,6,4,5,1,,,,,,,
R_6mKjeKgAO37KAa3,,,,6,3,,,,,,,1,5,,4,,,2,6,5,,,,,4,2,1,,,,,,,,3,,,,3,,,5,,,,4,6,,,2,,1,,
R_6vYB0TrCfH3JBza,4,,,,3,2,,,,,6,1,,,,,,5,,1,,2,,,3,,,4,,,6,,,,5,,,,4,,,,,3,5,,,,,2,6,1,,
R_5JJCqQob71jgN3b,,,1,,,,,,3,,4,2,,,5,,,6,6,5,,,1,,,,,,,,3,,,4,2,,,,,6,,4,2,5,,3,,,,1,,,,
